Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Molecular Sequence Numbers,Chemicals/CAS,Tradenames,Manufacturers,Funding Details,Funding Text 1,Funding Text 2,Funding Text 3,Funding Text 4,Funding Text 5,Funding Text 6,Funding Text 7,Funding Text 8,Funding Text 9,Funding Text 10,References,Correspondence Address,Editors,Sponsors,Publisher,Conference name,Conference date,Conference location,Conference code,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Dreyfus R.","7003468963;","An attractive, reshapable material",2019,"Science","365","6450",,"219","",,,"10.1126/science.aax8979","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070080333&doi=10.1126%2fscience.aax8979&partnerID=40&md5=3065281092a21622e52a0758b1075df1","Complex Assemblies of Soft Matter Laboratory (COMPASS), UMI 3254, CNRS, Solvay-University of Pennsylvania, RIC, Bristol, PA  19007, United States","Dreyfus, R., Complex Assemblies of Soft Matter Laboratory (COMPASS), UMI 3254, CNRS, Solvay-University of Pennsylvania, RIC, Bristol, PA  19007, United States",[No abstract available],,"aluminum; ferrofluid; iron; iron oxide; nanoparticle; polymer; unclassified drug; chemical interaction; chemical structure; emulsion; ferromagnetism; hysteresis; magnetic field; magnetism; magnetization; Note; paramagnetism; particle size; priority journal; robotics; surface property; temperature stress",,"aluminum, 7429-90-5; iron, 14093-02-8, 53858-86-9, 7439-89-6; iron oxide, 1332-37-2",,,,,,,,,,,,,,"Kittel, C., (1986) Introduction to Solid State Physics, , Wiley, New York, ed. 6; Liu, X., (2019) Science, 365, p. 264; Popplewell, J., Sakhnini, L., (1995) J. Magn. Magn. Mater., 149, p. 72; Pickering, S.U., (1907) J. Chem. Soc. Trans., 91, p. 2001; Pera-Titus, M., Leclercq, L., Clacens, J.-M., De Campo, F., Nardello-Rataj, V., (2015) Angew. Chem. Int. Ed., 54, p. 2006; Dinsmore, A.D., (2002) Science, 298, p. 1006; Burel, C.A.S., (2017) Small, 13, p. 1701925; Trivedi, D., Rahn, C.D., Kier, W.M., Walker, I.D., (2008) Appl. Bionics Biomech., 5, p. 99; Imhof, A., Pine, D.J., (1997) Nature, 389, p. 948; Cates, M.E., Clegg, P.S., (2008) Soft Matter, 4, p. 2132","Dreyfus, R.; Complex Assemblies of Soft Matter Laboratory (COMPASS), United States; email: rdreyfus@sas.upenn.edu",,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,"31320521","English","Sci.",Note,"Final","",Scopus,2-s2.0-85070080333
"Hergarten S., Wulf G., Kenkmann T.","55900132900;55224845300;6602898918;","Comment on ""Earth and Moon impact flux increased at the end of the Paleozoic""",2019,"Science","365","6450","eaaw7471","","",,3,"10.1126/science.aaw7471","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070068546&doi=10.1126%2fscience.aaw7471&partnerID=40&md5=00ff1cb455f4660990391d57023e31b9","Institut für Geo- und Umweltnaturwissenschaften, Albert-Ludwigs-Universität Freiburg, Freiburg im Breisgau, Germany","Hergarten, S., Institut für Geo- und Umweltnaturwissenschaften, Albert-Ludwigs-Universität Freiburg, Freiburg im Breisgau, Germany; Wulf, G., Institut für Geo- und Umweltnaturwissenschaften, Albert-Ludwigs-Universität Freiburg, Freiburg im Breisgau, Germany; Kenkmann, T., Institut für Geo- und Umweltnaturwissenschaften, Albert-Ludwigs-Universität Freiburg, Freiburg im Breisgau, Germany",[No abstract available],,"calibration; cosmological phenomena; earth; moon; Note; Paleozoic; priority journal; surface property; astronomy; Earth (Planet); Evolution, Planetary; Moon",,,,,,,,,,,,,,,,"Mazrouei, S., Ghent, R.R., Bottke, W.F., Parker, A.H., Gernon, T.M., Earth and Moon impact flux increased at the end of the Paleozoic (2019) Science, 363, pp. 253-257; Blackburn, T.J., Bowring, S.A., Perron, J.T., Mahan, K.H., Dudas, F.O., Barnhart, K.R., An exhumation history of continents over billion-year time scales (2012) Science, 335, pp. 73-76; Hergarten, S., Kenkmann, T., The number of impact craters on Earth: Any room for further discoveries? (2015) Earth Planet. Sci. Lett., 425, pp. 187-192; Bland, P.A., Artemieva, N.A., The rate of small impacts on Earth (2006) Meteorit. Planet. Sci., 41, pp. 607-631; Summerfield, M.A., Hulton, N.J., Natural controls of fluvial denudation rates in major world drainage basins (1994) J. Geophys. Res., 99, pp. 13871-13883; Ghent, R.R., Hayne, P.O., Bandfield, J.L., Campbell, B.A., Allen, C.C., Carter, L.M., Paige, D.A., Constraints on the recent rate of lunar ejecta breakdown and implications for crater ages (2014) Geology, 42, pp. 1059-1062","Hergarten, S.; Institut für Geo- und Umweltnaturwissenschaften, Germany; email: stefan.hergarten@geologie.uni-freiburg.de",,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,"31320510","English","Sci.",Note,"Final","All Open Access, Bronze",Scopus,2-s2.0-85070068546
"Price M.","57194618729;","University of Alaska braces for draconian budget cuts",2019,"Science","365","6450",,"208","",,,"10.1126/science.365.6450.208","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070067018&doi=10.1126%2fscience.365.6450.208&partnerID=40&md5=e46bec97ca55968b0bdd9f292ed1e697",,"Price, M.",[No abstract available],,"Alaska; Arctic; budget; climate change; cost control; funding; human; Note; priority journal; research; science; scientist; university",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,"31320514","English","Sci.",Note,"Final","",Scopus,2-s2.0-85070067018
"Schauss P.","43762128900;","Polarons leave a trace",2019,"Science","365","6450",,"218","",,,"10.1126/science.aax6486","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070060931&doi=10.1126%2fscience.aax6486&partnerID=40&md5=495f6f2de04739dfe6e04d921d3a01e5","Department of Physics, University of Virginia, Charlottesville, VA  22904-4714, United States","Schauss, P., Department of Physics, University of Virginia, Charlottesville, VA  22904-4714, United States",[No abstract available],,"entropy; Fermi- Hubbard model; ferromagnetism; magnetism; Note; priority journal; quantum theory; simulation; two dimensional Hubbard model; electron; gene conversion; Electrons; Gene Conversion",,,,,,,,,,,,,,,,"Chiu, C.S., (2019) Science, 365, p. 251; Gross, C., Bloch, I., (2017) Science, 357, p. 995; Bloch, I., (2018) Nat. Phys., 14, p. 1159; Greif, D., (2013) Science, 340, p. 1307; Hart, R.A., (2015) Nature, 519, p. 211; Parsons, M.F., (2016) Science, 353, p. 1253; Boll, M., (2016) Science, 353, p. 1257; Cheuk, L.W., (2016) Science, 353, p. 1260; Drewes, J.H., (2017) Phys. Rev. Lett., 118, p. 170401; Brown, P.T., (2017) Science, 357, p. 1385; Mazurenko, A., (2017) Nature, 545, p. 462; Giamarchi, T., (2004) Quantum Physics in One Dimension, , Oxford Univ. Press; Hilker, T.A., (2017) Science, 357, p. 484; Salomon, G., (2019) Nature, 565, p. 56; Endres, M., (2013) Appl. Phys. B, 113, p. 27","Schauss, P.; Department of Physics, United States; email: ps@virginia.edu",,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,"31320520","English","Sci.",Note,"Final","",Scopus,2-s2.0-85070060931
"Wong W.","57204829444;","Remembering the past for CXCR4 signaling",2019,"Science","365","6449",,"137C","",,,"10.1126/SCIENCE.365.6449.135-R","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112673610&doi=10.1126%2fSCIENCE.365.6449.135-R&partnerID=40&md5=5b67bc58efc7704b12fa4af3d6ed8cfe",,"Wong, W.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85112673610
"Szuromi P.","57196471264;","Visualizing molecular charging",2019,"Science","365","6449",,"135","",,,"10.1126/SCIENCE.365.6449.135-B","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112673365&doi=10.1126%2fSCIENCE.365.6449.135-B&partnerID=40&md5=8e29c6b7e0d6e472647fb048cb9e9096",,"Szuromi, P.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85112673365
"Purnell B.A.","6603532919;","Placenta formation and fetal demise",2019,"Science","365","6449",,"137B","",,,"10.1126/SCIENCE.365.6449.135-N","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112667939&doi=10.1126%2fSCIENCE.365.6449.135-N&partnerID=40&md5=695b1fccdddbe7782625e990262f7e9c",,"Purnell, B.A.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85112667939
"Stern P.","7202618089;","Perceptual decision-making in primates",2019,"Science","365","6449",,"136","",,,"10.1126/SCIENCE.365.6449.135-E","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112666505&doi=10.1126%2fSCIENCE.365.6449.135-E&partnerID=40&md5=6cdeac3b661c5bb47e07aa41db477e92",,"Stern, P.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85112666505
"Kelly P.N.","57196176293;","How puppy dog eyes evolved",2019,"Science","365","6449",,"137","",,,"10.1126/SCIENCE.365.6449.136-G","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112664470&doi=10.1126%2fSCIENCE.365.6449.136-G&partnerID=40&md5=7095e6aecb89d66c25b023da1aafee5d",,"Kelly, P.N.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85112664470
"Fahrenkamp-Uppenbrink J.","6508286276;","Know the seabirds, know the ocean",2019,"Science","365","6449",,"137B","",,,"10.1126/SCIENCE.365.6449.135-O","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112649892&doi=10.1126%2fSCIENCE.365.6449.135-O&partnerID=40&md5=72d26f00a14fd157f9b60c2e4b2b7b1b",,"Fahrenkamp-Uppenbrink, J.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85112649892
"Vinson V.","57204455504;","Predicting protein pairs",2019,"Science","365","6449",,"137","",,,"10.1126/SCIENCE.365.6449.135-M","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112645327&doi=10.1126%2fSCIENCE.365.6449.135-M&partnerID=40&md5=570e5f57f2ea3b13fd09fd8972f2690c",,"Vinson, V.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85112645327
"Yeston J.","57226091588;","An acidic route to silicon cations",2019,"Science","365","6449",,"137B","",,,"10.1126/SCIENCE.365.6449.135-L","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112644030&doi=10.1126%2fSCIENCE.365.6449.135-L&partnerID=40&md5=4871600c165886acde4c5535f4f8a4be",,"Yeston, J.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85112644030
"Kiberstis P.A.","6603060394;","Blood and guts, but in a good way",2019,"Science","365","6449",,"136","137",,,"10.1126/SCIENCE.365.6449.136-B","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112640302&doi=10.1126%2fSCIENCE.365.6449.136-B&partnerID=40&md5=1108a6363fa60e203b3a403c19e11065",,"Kiberstis, P.A.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85112640302
"Sugden A.M.","6701749750;","How humans colonized the Americas",2019,"Science","365","6449",,"137B","",,,"10.1126/SCIENCE.365.6449.135-I","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112636368&doi=10.1126%2fSCIENCE.365.6449.135-I&partnerID=40&md5=9dfd1349dcc1829ee932286995a29a86",,"Sugden, A.M.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85112636368
"Lavine M.S.","57204519657;","Caging cells in functional shells",2019,"Science","365","6449",,"137","",,,"10.1126/SCIENCE.365.6449.136-E","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112636173&doi=10.1126%2fSCIENCE.365.6449.136-E&partnerID=40&md5=213d253d0f48699181e4356aaa447b47",,"Lavine, M.S.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85112636173
"Yeston J.","57226091588;","Silanone synthesis",2019,"Science","365","6449",,"137","",,,"10.1126/SCIENCE.365.6449.136-D","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112632145&doi=10.1126%2fSCIENCE.365.6449.136-D&partnerID=40&md5=ee9e0686564b445faed041467dfd3adf",,"Yeston, J.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85112632145
"Pujanandez L.","57204826465;","A shocking contributor in anaphylaxis",2019,"Science","365","6449","135","136","",,,"10.1126/SCIENCE.365.6449.135-H","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112618615&doi=10.1126%2fSCIENCE.365.6449.135-H&partnerID=40&md5=b029ce427667a5e7c63b2eef63dbc11f",,"Pujanandez, L.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85112618615
"LaBar K.S.","57226773349;","How did we evolve pointing gestures?",2019,"Science","365","6449",,"135","",,,"10.1126/SCIENCE.365.6449.135-A","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112613795&doi=10.1126%2fSCIENCE.365.6449.135-A&partnerID=40&md5=0293add195d53dfd16893c8fed7a479f",,"LaBar, K.S.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85112613795
"Zahn L.M.","57226414064;","How cow genomes have moo-ved",2019,"Science","365","6449",,"136","",,,"10.1126/SCIENCE.365.6449.135-G","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112606344&doi=10.1126%2fSCIENCE.365.6449.135-G&partnerID=40&md5=552b155a33e92a6193009d7c01723460",,"Zahn, L.M.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85112606344
"Ash C.","57226735228;","Malnutrition and dietary repair",2019,"Science","365","6449",,"137","",,,"10.1126/SCIENCE.365.6449.135-J","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112604529&doi=10.1126%2fSCIENCE.365.6449.135-J&partnerID=40&md5=7ebbfe03e2723ada578e883b250d3238",,"Ash, C.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85112604529
"Hines P.J.","7007106302;","Yin and yang of hair cells",2019,"Science","365","6449",,"137","",,,"10.1126/SCIENCE.365.6449.136-C","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112598411&doi=10.1126%2fSCIENCE.365.6449.136-C&partnerID=40&md5=4210d969d637db6c4a2daced5ee5ee93",,"Hines, P.J.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85112598411
"Stern P.","7202618089;","From local space to higher-order maps",2019,"Science","365","6449",,"137","",,,"10.1126/SCIENCE.365.6449.135-K","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112597945&doi=10.1126%2fSCIENCE.365.6449.135-K&partnerID=40&md5=28b7ceb7ffc59ed2bef711547d0f7076",,"Stern, P.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85112597945
"Lavine M.S.","57204519657;","Getting the most out of muscles",2019,"Science","365","6449",,"135","",,,"10.1126/SCIENCE.365.6449.135-C","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112597414&doi=10.1126%2fSCIENCE.365.6449.135-C&partnerID=40&md5=a6aeee5dc149d84584320b633cfe425a",,"Lavine, M.S.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85112597414
"Zahn L.M.","57226414064;","Cats in trees",2019,"Science","365","6449",,"137","",,,"10.1126/SCIENCE.365.6449.136-F","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112593135&doi=10.1126%2fSCIENCE.365.6449.136-F&partnerID=40&md5=1f398e55afc250b5bf34673e102946d3",,"Zahn, L.M.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85112593135
"Williams I.","57207030310;","Human resident memory T cells hit the road",2019,"Science","365","6449",,"137C","",,,"10.1126/SCIENCE.365.6449.135-Q","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112592289&doi=10.1126%2fSCIENCE.365.6449.135-Q&partnerID=40&md5=cde9b317aaa9542e849abfdd017c7a4d",,"Williams, I.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85112592289
[No author name available],[No author id available],"A boost for car-t cells",2019,"Science","365","6449",,"136","",,,"10.1126/SCIENCE.365.6449.135-F","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111981644&doi=10.1126%2fSCIENCE.365.6449.135-F&partnerID=40&md5=a8983a54bb46e261044897f6feedc7f2",,"",[No abstract available],,,,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85111981644
"Alderton G.","57207948291;","Chronic inflammation as a cancer driver",2019,"Science","365","6449",,"137B","137C",,1,"10.1126/SCIENCE.365.6449.135-P","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088023581&doi=10.1126%2fSCIENCE.365.6449.135-P&partnerID=40&md5=ab4feaa287cab0dce4c8b065e1e59eda",,"Alderton, G.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85088023581
"Jones L.","57210123132;","In nomine terra calens: In the name of a warming Earth",2019,"Science","364","6447",,"1241","",,,"10.1126/science.aay1010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069542646&doi=10.1126%2fscience.aay1010&partnerID=40&md5=ba8fb6592d14b6701aeb80033868cd80",,"Jones, L.",[No abstract available],,"astronomy; career; climate change; earthquake; human; Note; priority journal; temperature",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85069542646
"Glassley W.E.","6701815467;","A remote region, revealed: A new tome tells tales of adventurers and scientists who have wrested secrets from Greenland's daunting landscape",2019,"Science","364","6447",,"1241","",,,"10.1126/science.aax4901","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069520400&doi=10.1126%2fscience.aax4901&partnerID=40&md5=d7fa8007cb34a5fdb742938c6d06ac84","Department of Earth and Planetary Sciences, University of California, Davis, Davis, CA  95616, United States; Department of Geoscience, Aarhus University, Denmark","Glassley, W.E., Department of Earth and Planetary Sciences, University of California, Davis, Davis, CA  95616, United States, Department of Geoscience, Aarhus University, Denmark",[No abstract available],,"army; book; carbon footprint; climate change; funding; Greenland; history; ice cover; landscape; mental stress; Note; physical stress; priority journal; starvation; technology",,,,,,,,,,,,,,,,,"Glassley, W.E.; Department of Earth and Planetary Sciences, United States; email: wglassley@ucdavis.edu",,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85069520400
"Brown B.","55545397700;","The art of academic negotiation",2019,"Science","364","6447",,"1306","",,,"10.1126/science.364.6447.1306","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068996299&doi=10.1126%2fscience.364.6447.1306&partnerID=40&md5=ff6f691ed614016d2e0630b931744c31","University of California, Riverside, School of Medicine, United States","Brown, B., University of California, Riverside, School of Medicine, United States",[No abstract available],,"academic achievement; art; college student; education; ethnic group; health center; human; mentor; mentoring; Note; personal experience; priority journal; race; salary; sexual and gender minority; university; work",,,,,,,,,,,,,,,,,"Brown, B.; University of California, United States",,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,"31249061","English","Sci.",Note,"Final","All Open Access, Bronze",Scopus,2-s2.0-85068996299
"Clery D.","7004604600;","Giant telescope set to rise on hallowed peak in Hawaii: Thirty Meter Telescope surmounts last legal hurdle, but protesters plan to disrupt construction",2019,"Science","364","6447",,"1220","",,,"10.1126/science.364.6447.1220","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068987800&doi=10.1126%2fscience.364.6447.1220&partnerID=40&md5=31ce1cd71626a25ef9a7860001fc9f6d",,"Clery, D.",[No abstract available],,"astronomy; construction work; Hawaii; law enforcement; Note; priority journal; religion; volcano",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,"31249039","English","Sci.",Note,"Final","",Scopus,2-s2.0-85068987800
"Kupferschmidt K.","37095697200;","Plan to use second Ebola vaccine sparks debate: New shots could protect more people, but also create confusion and stretch resources",2019,"Science","364","6447",,"1221","",,3,"10.1126/science.364.6447.1221","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068985621&doi=10.1126%2fscience.364.6447.1221&partnerID=40&md5=f2c300dc8a9737fcb65d549e6e7ad8e8",,"Kupferschmidt, K.",[No abstract available],,"Ebola vaccine; Ebola vaccine; Adenoviridae; drug efficacy; Ebola hemorrhagic fever; epidemic; government; human; low risk population; Note; Poxviridae; priority journal; public-private partnership; vaccination; Vesiculovirus; World Health Organization; clinical trial (topic); Democratic Republic Congo; Ebola hemorrhagic fever; epidemic; Clinical Trials as Topic; Democratic Republic of the Congo; Disease Outbreaks; Ebola Vaccines; Hemorrhagic Fever, Ebola; Humans",,"Ebola Vaccines",,,,,,,,,,,,,,,"Kupferschmidt, K.",,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,"31249040","English","Sci.",Note,"Final","",Scopus,2-s2.0-85068985621
"Servick K.","55810927800;","Taking 'baby steps' to human organs in livestock",2019,"Science","364","6447",,"1217","1218",,1,"10.1126/science.364.6447.1217","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068971311&doi=10.1126%2fscience.364.6447.1217&partnerID=40&md5=45bb0b6ac43c86533fbfea4107eb9558",,"Servick, K.",[No abstract available],,"animal organ; breeding; cardiac muscle cell; cell culture; cell death; cell interaction; cell proliferation; cell survival; chimera; chimpanzee; cow; diabetes mellitus; embryo development; embryonic stem cell; funding; gene expression; genetic compatibility; genetic engineering; goal attainment; government regulation; graft rejection; Haplorhini; histocompatibility; host cell; human; human organ; immune response; induced pluripotent stem cell; interspecific competition; intrauterine growth retardation; Japan; legal aspect; livestock; medical ethics; medical research; nidation; nonhuman; Note; nuclear reprogramming; organ; organ donor; organ growth; organ transplantation; organogenesis; pancreas tissue; pancreas transplantation; pig; practice guideline; priority journal; rodent; sheep; signal transduction; sow (swine); tissue growth; transformed cell; xenotransplantation; animal; cell reprogramming technique; chimera; mouse; transplantation; Animals; Cellular Reprogramming Techniques; Chimera; Genetic Engineering; Humans; Livestock; Mice; Sus scrofa; Transplants",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,"31249037","English","Sci.",Note,"Final","",Scopus,2-s2.0-85068971311
